Date;Price;Open;High;Low;Vol;Change
45505;653729;646257;655879;623039;84.20;1.16%
45504;646260;661854;668256;645383;51.52;-2.36%
45503;661849;667961;669983;653287;54.43;-0.92%
45502;667987;682563;700002;665445;85.67;-2.14%
45501;682563;678889;682919;670678;26.17;0.61%
45500;678431;679108;693876;667768;67.99;-0.10%
45499;679086;657997;682050;657643;59.13;3.21%
45498;657993;653639;660886;635009;77.46;0.66%
45497;653705;659368;670721;651552;52.47;-0.86%
45496;659378;675504;677502;655129;69.58;-2.39%
45495;675536;681584;684689;666018;54.88;-0.89%
45494;681587;671478;683529;658256;47.19;1.50%
45493;671485;666770;675864;662574;32.94;0.71%
45492;666774;639812;673904;633261;82.87;4.22%
45491;639805;640904;651020;632535;51.27;-0.17%
45490;640892;650528;660515;638975;66.11;-1.48%
45489;650497;647492;653195;624308;93.63;0.41%
45488;647824;607947;648695;606788;96.02;6.56%
45487;607949;592079;613269;592079;47.48;2.68%
45486;592098;578974;598265;577706;34.28;2.29%
45485;578851;573383;585209;565757;56.84;0.96%
45484;573373;577459;594044;570950;66.40;-0.71%
45483;577467;580402;593938;571853;59.60;-0.50%
45482;580394;567213;582340;563063;64.25;2.32%
45481;567247;558502;581158;543200;102.91;1.55%
45480;558611;582402;583946;557563;41.12;-4.12%
45479;582592;566400;584620;560268;46.91;2.86%
45478;566418;570257;574711;538834;175.51;-0.67%
45477;570263;602014;604630;568127;116.38;-5.27%
45476;601993;621049;622636;594666;73.34;-3.07%
45475;621033;628883;632570;617976;46.52;-1.25%
45474;628901;627688;638421;625580;59.94;0.22%
45473;627543;609731;630066;607037;37.21;2.92%
45472;609734;604037;611928;603828;26.56;0.94%
45471;604033;616846;621754;600819;58.95;-2.08%
45470;616853;608483;623512;606294;48.79;1.37%
45469;608494;618099;624694;607151;54.95;-1.55%
45468;618094;602920;622660;602622;77.28;2.52%
45467;602927;632016;633571;585899;120.60;-4.59%
45466;631962;642610;645189;631953;19.94;-1.66%
45465;642610;641319;645239;639440;17.55;0.21%
45464;641285;648543;650549;634279;60.86;-1.12%
45463;648543;649821;664742;645667;56.24;-0.19%
45462;649809;651598;657064;647056;42.96;-0.27%
45461;651599;664957;665712;640984;93.72;-2.01%
45460;664988;666729;672538;651154;66.09;-0.26%
45459;666747;662230;669514;660381;20.74;0.68%
45458;662230;660341;664464;658951;24.05;0.29%
45457;660348;667752;673477;650765;65.18;-1.11%
45456;667731;682606;683846;663243;66.36;-2.18%
45455;682601;673209;699908;669115;85.55;1.40%
45454;673198;695379;695733;661978;96.70;-3.19%
45453;695382;696502;701525;692599;39.12;-0.16%
45452;696506;693105;698478;691367;20.99;0.49%
45451;693101;693470;695721;692224;23.03;-0.05%
45450;693479;707934;719565;686207;82.62;-2.04%
45449;707915;710836;716161;701787;49.79;-0.41%
45448;710837;705509;717444;703971;67.06;0.76%
45447;705492;688080;710342;685643;75.69;2.53%
45446;688078;677633;701310;676168;69.42;1.53%
45445;677735;677608;684475;673306;30.63;0.02%
45444;677608;675339;678610;674496;19.01;0.34%
45443;675301;683523;690182;666768;61.51;-1.21%
45442;683547;676313;695047;671384;66.84;1.06%
45441;676358;683662;688976;671432;52.13;-1.07%
45440;683660;694283;695607;672999;71.39;-1.53%
45439;694287;685146;706383;682752;49.07;1.33%
45438;685148;692872;694940;682945;24.58;-1.11%
45437;692844;685482;695588;685161;25.17;1.07%
45436;685476;679711;692120;666858;63.28;0.84%
45435;679757;691663;700410;665781;89.45;-1.71%
45434;691554;701410;705934;690243;65.08;-1.40%
45433;701399;714305;718720;691817;108.56;-1.80%
45432;714227;662783;714828;660765;112.66;7.76%
45431;662791;669190;676625;659373;36.19;-0.95%
45430;669175;670366;673614;666361;29.68;-0.18%
45429;670368;652311;674207;651217;63.09;2.77%
45428;652310;662196;666439;646233;72.55;-1.50%
45427;662251;615694;664171;613575;106.05;7.56%
45426;615694;629368;631026;611569;68.84;-2.17%
45425;629372;614805;634432;607790;70.55;2.37%
45424;614800;608266;618477;606471;27.40;1.07%
45423;608266;607968;614875;604993;27.50;0.05%
45422;607969;630743;634543;602518;79.33;-3.61%
45421;630750;612073;634133;606714;64.22;3.05%
45420;612075;623049;629974;608942;56.47;-1.78%
45419;623177;631631;643610;622941;59.74;-1.34%
45418;631631;640058;654488;627307;77.68;-1.32%
45417;640064;638977;645872;629239;40.51;0.18%
45416;638883;628871;644660;625991;53.03;1.61%
45415;628775;591043;632984;588308;100.46;6.35%
45414;591213;583349;595480;569898;98.06;1.35%
45413;583312;606650;608275;566435;171.55;-3.85%
45412;606666;638524;647002;592287;121.04;-5.00%
45411;638601;631137;641931;618372;67.26;1.19%
45410;631097;634579;643461;628278;36.65;-0.55%
45409;634568;637658;639167;625077;45.34;-0.49%
45408;637664;644971;647713;633549;61.60;-1.13%
45407;644971;642871;652475;628892;80.77;0.33%
45406;642857;664149;670605;636069;77.83;-3.21%
45405;664150;668295;671800;658483;52.42;-0.62%
45404;668293;649401;672080;645275;72.30;2.91%
45403;649402;649421;656806;642675;42.02;-0.03%
45402;649611;638176;653756;631317;49.33;1.82%
45401;637991;634805;654412;596933;150.34;0.50%
45400;634814;612789;640924;608223;97.38;3.59%
45399;612789;638023;644515;598208;118.92;-3.96%
45398;638053;634161;642744;617156;114.96;0.62%
45397;634119;656966;668051;623795;118.79;-3.48%
45396;656974;639095;657582;621747;134.40;2.89%
45395;638499;671374;679210;610655;149.48;-4.92%
45394;671519;700149;712269;658293;131.84;-4.08%
45393;700116;706204;712492;695861;72.51;-0.86%
45392;706221;691478;710869;675700;97.71;2.13%
45391;691480;716273;717372;682646;93.69;-3.47%
45390;716301;693580;727108;691105;105.78;3.27%
45389;693604;688973;702858;688494;46.99;0.68%
45388;688906;678305;696320;674672;41.48;1.56%
