Date,Price,Open,High,Low,Vol.,Change %
45505,653729,646257,655879,623039,84200.0,0.0116
45504,646260,661854,668256,645383,51520.0,-0.0236
45503,661849,667961,669983,653287,54430.0,-0.0092
45502,667987,682563,700002,665445,85670.0,-0.021400000000000002
45501,682563,678889,682919,670678,26170.0,0.0060999999999999995
45500,678431,679108,693876,667768,67990.0,-0.001
45499,679086,657997,682050,657643,59130.0,0.0321
45498,657993,653639,660886,635009,77460.0,0.0066
45497,653705,659368,670721,651552,52470.0,-0.0086
45496,659378,675504,677502,655129,69580.0,-0.0239
45495,675536,681584,684689,666018,54880.0,-0.0089
45494,681587,671478,683529,658256,47190.0,0.015
45493,671485,666770,675864,662574,32940.0,0.0070999999999999995
45492,666774,639812,673904,633261,82870.0,0.042199999999999994
45491,639805,640904,651020,632535,51270.0,-0.0017000000000000001
45490,640892,650528,660515,638975,66110.0,-0.0148
45489,650497,647492,653195,624308,93630.0,0.0040999999999999995
45488,647824,607947,648695,606788,96020.0,0.06559999999999999
45487,607949,592079,613269,592079,47480.0,0.0268
45486,592098,578974,598265,577706,34280.0,0.0229
45485,578851,573383,585209,565757,56840.0,0.0096
45484,573373,577459,594044,570950,66400.0,-0.0070999999999999995
45483,577467,580402,593938,571853,59600.0,-0.005
45482,580394,567213,582340,563063,64250.0,0.0232
45481,567247,558502,581158,543200,102910.0,0.0155
45480,558611,582402,583946,557563,41120.0,-0.0412
45479,582592,566400,584620,560268,46910.0,0.0286
45478,566418,570257,574711,538834,175510.0,-0.0067
45477,570263,602014,604630,568127,116380.0,-0.0527
45476,601993,621049,622636,594666,73340.0,-0.030699999999999998
45475,621033,628883,632570,617976,46520.0,-0.0125
45474,628901,627688,638421,625580,59940.0,0.0022
45473,627543,609731,630066,607037,37210.0,0.0292
45472,609734,604037,611928,603828,26560.0,0.009399999999999999
45471,604033,616846,621754,600819,58950.0,-0.0208
45470,616853,608483,623512,606294,48790.0,0.0137
45469,608494,618099,624694,607151,54950.0,-0.0155
45468,618094,602920,622660,602622,77280.0,0.0252
45467,602927,632016,633571,585899,120600.0,-0.045899999999999996
45466,631962,642610,645189,631953,19940.0,-0.0166
45465,642610,641319,645239,639440,17550.0,0.0021
45464,641285,648543,650549,634279,60860.0,-0.011200000000000002
45463,648543,649821,664742,645667,56240.0,-0.0019
45462,649809,651598,657064,647056,42960.0,-0.0027
45461,651599,664957,665712,640984,93720.0,-0.020099999999999996
45460,664988,666729,672538,651154,66090.0,-0.0026
45459,666747,662230,669514,660381,20740.0,0.0068000000000000005
45458,662230,660341,664464,658951,24050.0,0.0029
45457,660348,667752,673477,650765,6518000000000000,-0.0111
45456,667731,682606,683846,663243,66360.0,-0.0218
