Date,Price,Open,High,Low,Vol.,Change %
45505,653729,646257,655879,623039,84.20K,1.16%
45504,646260,661854,668256,645383,51.52K,-2.36%
45503,661849,667961,669983,653287,54.43K,-0.92%
45502,667987,682563,700002,665445,85.67K,-2.14%
45501,682563,678889,682919,670678,26.17K,0.61%
45500,678431,679108,693876,667768,67.99K,-0.10%
45499,679086,657997,68205,657643,59.13K,3.21%
45498,657993,653639,660886,635009,77.46K,0.66%
45497,653705,659368,670721,651552,52.47K,-0.86%
45496,659378,675504,677502,655129,69.58K,-2.39%
45495,675536,681584,684689,666018,54.88K,-0.89%
45494,681587,671478,683529,658256,47.19K,1.50%
45493,671485,66677,675864,662574,32.94K,0.71%
45492,666774,639812,673904,633261,82.87K,4.22%
45491,639805,640904,65102,632535,51.27K,-0.17%
45490,640892,650528,660515,638975,66.11K,-1.48%
45489,650497,647492,653195,624308,93.63K,0.41%
45488,647824,607947,648695,606788,96.02K,6.56%
45487,607949,592079,613269,592079,47.48K,2.68%
45486,592098,578974,598265,577706,34.28K,2.29%
45485,578851,573383,585209,565757,56.84K,0.96%
45484,573373,577459,594044,57095,66.40K,-0.71%
45483,577467,580402,593938,571853,59.60K,-0.50%
45482,580394,567213,58234,563063,64.25K,2.32%
45481,567247,558502,581158,5432,102.91K,1.55%
45480,558611,582402,583946,557563,41.12K,-4.12%
45479,582592,5664,58462,560268,46.91K,2.86%
45478,566418,570257,574711,538834,175.51K,-0.67%
45477,570263,602014,60463,568127,116.38K,-5.27%
45476,601993,621049,622636,594666,73.34K,-3.07%
45475,621033,628883,63257,617976,46.52K,-1.25%
45474,628901,627688,638421,62558,59.94K,0.22%
45473,627543,609731,630066,607037,37.21K,2.92%
45472,609734,604037,611928,603828,26.56K,0.94%
45471,604033,616846,621754,600819,58.95K,-2.08%
45470,616853,608483,623512,606294,48.79K,1.37%
45469,608494,618099,624694,607151,54.95K,-1.55%
45468,618094,60292,62266,602622,77.28K,2.52%
45467,602927,632016,633571,585899,120.60K,-4.59%
45466,631962,64261,645189,631953,19.94K,-1.66%
45465,64261,641319,645239,63944,17.55K,0.21%
45464,641285,648543,650549,634279,60.86K,-1.12%
45463,648543,649821,664742,645667,56.24K,-0.19%
45462,649809,651598,657064,647056,42.96K,-0.27%
45461,651599,664957,665712,640984,93.72K,-2.01%
45460,664988,666729,672538,651154,66.09K,-0.26%
45459,666747,66223,669514,660381,20.74K,0.68%
45458,66223,660341,664464,658951,24.05K,0.29%
45457,660348,667752,673477,650765,65.18K,-1.11%
45456,667731,682606,683846,663243,66.36K,-2.18%
45455,682601,673209,699908,669115,85.55K,1.40%
45454,673198,695379,695733,661978,96.70K,-3.19%
45453,695382,696502,701525,692599,39.12K,-0.16%
45452,696506,693105,698478,691367,20.99K,0.49%
45451,693101,69347,695721,692224,23.03K,-0.05%
45450,693479,707934,719565,686207,82.62K,-2.04%
45449,707915,710836,716161,701787,49.79K,-0.41%
45448,710837,705509,717444,703971,67.06K,0.76%
45447,705492,68808,710342,685643,75.69K,2.53%
45446,688078,677633,70131,676168,69.42K,1.53%
45445,677735,677608,684475,673306,30.63K,0.02%
45444,677608,675339,67861,674496,19.01K,0.34%
45443,675301,683523,690182,666768,61.51K,-1.21%
45442,683547,676313,695047,671384,66.84K,1.06%
45441,676358,683662,688976,671432,52.13K,-1.07%
45440,68366,694283,695607,672999,71.39K,-1.53%
45439,694287,685146,706383,682752,49.07K,1.33%
45438,685148,692872,69494,682945,24.58K,-1.11%
45437,692844,685482,695588,685161,25.17K,1.07%
45436,685476,679711,69212,666858,63.28K,0.84%
45435,679757,691663,70041,665781,89.45K,-1.71%
45434,691554,70141,705934,690243,65.08K,-1.40%
45433,701399,714305,71872,691817,108.56K,-1.80%
45432,714227,662783,714828,660765,112.66K,7.76%
45431,662791,66919,676625,659373,36.19K,-0.95%
45430,669175,670366,673614,666361,29.68K,-0.18%
45429,670368,652311,674207,651217,63.09K,2.77%
45428,65231,662196,666439,646233,72.55K,-1.50%
45427,662251,615694,664171,613575,106.05K,7.56%
45426,615694,629368,631026,611569,68.84K,-2.17%
45425,629372,614805,634432,60779,70.55K,2.37%
45424,6148,608266,618477,606471,27.40K,1.07%
45423,608266,607968,614875,604993,27.50K,0.05%
45422,607969,630743,634543,602518,79.33K,-3.61%
45421,63075,612073,634133,606714,64.22K,3.05%
45420,612075,623049,629974,608942,56.47K,-1.78%
45419,623177,631631,64361,622941,59.74K,-1.34%
45418,631631,640058,654488,627307,77.68K,-1.32%
45417,640064,638977,645872,629239,40.51K,0.18%
45416,638883,628871,64466,625991,53.03K,1.61%
45415,628775,591043,632984,588308,100.46K,6.35%
45414,591213,583349,59548,569898,98.06K,1.35%
45413,583312,60665,608275,566435,171.55K,-3.85%
45412,606666,638524,647002,592287,121.04K,-5.00%
45411,638601,631137,641931,618372,67.26K,1.19%
45410,631097,634579,643461,628278,36.65K,-0.55%
45409,634568,637658,639167,625077,45.34K,-0.49%
45408,637664,644971,647713,633549,61.60K,-1.13%
45407,644971,642871,652475,628892,80.77K,0.33%
45406,642857,664149,670605,636069,77.83K,-3.21%
45405,66415,668295,6718,658483,52.42K,-0.62%
45404,668293,649401,67208,645275,72.30K,2.91%
45403,649402,649421,656806,642675,42.02K,-0.03%
45402,649611,638176,653756,631317,49.33K,1.82%
45401,637991,634805,654412,596933,150.34K,0.50%
45400,634814,612789,640924,608223,97.38K,3.59%
45399,612789,638023,644515,598208,118.92K,-3.96%
45398,638053,634161,642744,617156,114.96K,0.62%
45397,634119,656966,668051,623795,118.79K,-3.48%
45396,656974,639095,657582,621747,134.40K,2.89%
45395,638499,671374,67921,610655,149.48K,-4.92%
45394,671519,700149,712269,658293,131.84K,-4.08%
45393,700116,706204,712492,695861,72.51K,-0.86%
45392,706221,691478,710869,6757,97.71K,2.13%
45391,69148,716273,717372,682646,93.69K,-3.47%
45390,716301,69358,727108,691105,105.78K,3.27%
45389,693604,688973,702858,688494,46.99K,0.68%
45388,688906,678305,69632,674672,41.48K,1.56%
45387,678306,684987,686922,660233,88.97K,-0.97%
45386,684965,659684,692388,650963,100.30K,3.84%
45385,65963,654436,668448,64559,88.46K,0.80%
45384,654392,696627,69673,646284,152.87K,-6.07%
45383,696644,713293,713293,681759,94.05K,-2.34%
45382,71332,696085,713675,695766,42.45K,2.47%
45381,696115,698723,703212,695649,29.87K,-0.37%
