Date,Price,Open,High,Low,Vol,Change
45505,65.372,64.625,65.587,62.303,84.20,1.16%
45504,64.626,66.185,66.825,64.538,51.52,-2.36%
45503,66.184,66.796,66.998,65.328,54.43,-0.92%
45502,66.798,68.256,70.000,66.544,85.67,-2.14%
45501,68.256,67.888,68.291,67.67,26.17,0.61%
45500,67.843,67.910,69.387,66.776,67.99,-0.10%
45499,67.908,65.799,68.205,65.764,59.13,3.21%
45498,65.799,65.363,66.088,63.500,77.46,0.66%
45497,65.370,65.936,67.072,65.155,52.47,-0.86%
45496,65.937,67.550,67.750,65.512,69.58,-2.39%
45495,67.553,68.158,68.468,66.601,54.88,-0.89%
45494,68.158,67.147,68.352,65.825,47.19,1.50%
45493,67.148,66.677,67.586,66.257,32.94,0.71%
45492,66.677,63.981,67.390,63.326,82.87,4.22%
45491,63.980,64.90,65.102,63.253,51.27,-0.17%
45490,64.89,65.52,66.051,63.897,66.11,-1.48%
45489,65.49,64.749,65.319,62.430,93.63,0.41%
45488,64.782,60.794,64.869,60.678,96.2,6.56%
45487,60.794,59.207,61.326,59.207,47.48,2.68%
45486,59.209,57.897,59.826,57.770,34.28,2.29%
45485,57.885,57.338,58.520,56.575,56.84,0.96%
45484,57.337,57.745,59.404,57.95,66.40,-0.71%
45483,57.746,58.40,59.393,57.185,59.60,-0.50%
45482,58.39,56.721,58.234,56.306,64.25,2.32%
45481,56.724,55.850,58.115,54.320,102.91,1.55%
45480,55.861,58.240,58.394,55.756,41.12,-4.12%
45479,58.259,56.640,58.462,56.26,46.91,2.86%
45478,56.641,57.25,57.471,53.883,175.51,-0.67%
45477,57.26,60.201,60.463,56.812,116.38,-5.27%
45476,60.199,62.104,62.263,59.466,73.34,-3.07%
45475,62.103,62.888,63.257,61.797,46.52,-1.25%
45474,62.890,62.768,63.842,62.558,59.94,0.22%
45473,62.754,60.973,63.6,60.703,37.21,2.92%
45472,60.973,60.403,61.192,60.382,26.56,0.94%
45471,60.403,61.684,62.175,60.81,58.95,-2.08%
45470,61.685,60.848,62.351,60.629,48.79,1.37%
45469,60.849,61.809,62.469,60.715,54.95,-1.55%
45468,61.809,60.292,62.266,60.262,77.28,2.52%
45467,60.292,63.201,63.357,58.589,120.60,-4.59%
45466,63.196,64.261,64.518,63.195,19.94,-1.66%
45465,64.261,64.131,64.523,63.944,17.55,0.21%
45464,64.128,64.854,65.54,63.427,60.86,-1.12%
45463,64.854,64.982,66.474,64.566,56.24,-0.19%
45462,64.980,65.159,65.706,64.705,42.96,-0.27%
45461,65.159,66.495,66.571,64.98,93.72,-2.01%
45460,66.498,66.672,67.253,65.115,66.9,-0.26%
45459,66.674,66.223,66.951,66.38,20.74,0.68%
45458,66.223,66.34,66.446,65.895,24.5,0.29%
45457,66.34,66.775,67.347,65.76,65.18,-1.11%
45456,66.773,68.260,68.384,66.324,66.36,-2.18%
45455,68.260,67.320,69.990,66.911,85.55,1.40%
45454,67.319,69.537,69.573,66.197,96.70,-3.19%
45453,69.538,69.650,70.152,69.259,39.12,-0.16%
45452,69.650,69.310,69.847,69.136,20.99,0.49%
45451,69.310,69.347,69.572,69.222,23.3,-0.05%
45450,69.347,70.793,71.956,68.620,82.62,-2.04%
45449,70.791,71.83,71.616,70.178,49.79,-0.41%
45448,71.83,70.550,71.744,70.397,67.6,0.76%
45447,70.549,68.808,71.34,68.564,75.69,2.53%
45446,68.807,67.763,70.131,67.616,69.42,1.53%
45445,67.773,67.760,68.447,67.330,30.63,0.02%
45444,67.760,67.533,67.861,67.449,19.1,0.34%
45443,67.530,68.352,69.18,66.676,61.51,-1.21%
45442,68.354,67.631,69.504,67.138,66.84,1.06%
45441,67.635,68.366,68.897,67.143,52.13,-1.07%
45440,68.366,69.428,69.560,67.299,71.39,-1.53%
45439,69.428,68.514,70.638,68.275,49.7,1.33%
45438,68.514,69.287,69.494,68.294,24.58,-1.11%
45437,69.284,68.548,69.558,68.516,25.17,1.07%
45436,68.547,67.971,69.212,66.685,63.28,0.84%
45435,67.975,69.166,70.41,66.578,89.45,-1.71%
45434,69.155,70.141,70.593,69.24,65.8,-1.40%
45433,70.139,71.430,71.872,69.181,108.56,-1.80%
45432,71.422,66.278,71.482,66.76,112.66,7.76%
45431,66.279,66.919,67.662,65.937,36.19,-0.95%
45430,66.917,67.36,67.361,66.636,29.68,-0.18%
45429,67.36,65.231,67.420,65.121,63.9,2.77%
