Date;Price;Open;High;Low;Vol.;Change %;;;
45505;653729;64.625.7;65.587.9;62.303.9;84200.0;0.0116;;730663;605469
45504;646260;66.185.4;66.825.6;64.538.3;51520.0;-0.0236;;48260;682403
45503;661849;66.796.1;66.998.3;65.328.7;54430.0;-0.0092;;;
45502;667987;68.256.3;70.000.2;66.544.5;85670.0;-0.021400000000000002;;;
45501;682563;67.888.9;68.291.9;67.067.8;26170.0;0.0060999999999999995;;;
45500;678431;67.910.8;69.387.6;66.776.8;67990.0;-0.001;;;
45499;679086;65.799.7;68.205.0;65.764.3;59130.0;0.0321;;;
45498;657993;65.363.9;66.088.6;63.500.9;77460.0;0.0066;;;
45497;653705;65.936.8;67.072.1;65.155.2;52470.0;-0.0086;;;
45496;659378;67.550.4;67.750.2;65.512.9;69580.0;-0.0239;;;
45495;675536;68.158.4;68.468.9;66.601.8;54880.0;-0.0089;;;
45494;681587;67.147.8;68.352.9;65.825.6;47190.0;0.015;;;
45493;671485;66.677.0;67.586.4;66.257.4;32940.0;0.0070999999999999995;;;
45492;666774;63.981.2;67.390.4;63.326.1;82870.0;0.042199999999999994;;;
45491;639805;64.090.4;65.102.0;63.253.5;51270.0;-0.0017000000000000001;;;
45490;640892;65.052.8;66.051.5;63.897.5;66110.0;-0.0148;;;
45489;650497;64.749.2;65.319.5;62.430.8;93630.0;0.0040999999999999995;;;
45488;647824;60.794.7;64.869.5;60.678.8;96020.0;0.06559999999999999;;;
45487;607949;59.207.9;61.326.9;59.207.9;47480.0;0.0268;;;
45486;592098;57.897.4;59.826.5;57.770.6;34280.0;0.0229;;;
45485;578851;57.338.3;58.520.9;56.575.7;56840.0;0.0096;;;
45484;573373;57.745.9;59.404.4;57.095.0;66400.0;-0.0070999999999999995;;;
45483;577467;58.040.2;59.393.8;57.185.3;59600.0;-0.005;;;
45482;580394;56.721.3;58.234.0;56.306.3;64250.0;0.0232;;;
45481;567247;55.850.2;58.115.8;54.320.0;102910.0;0.0155;;;
45480;558611;58.240.2;58.394.6;55.756.3;41120.0;-0.0412;;;
45479;582592;56.640.0;58.462.0;56.026.8;46910.0;0.0286;;;
45478;566418;57.025.7;57.471.1;53.883.4;175510.0;-0.0067;;;
45477;570263;60.201.4;60.463.0;56.812.7;116380.0;-0.0527;;;
45476;601993;62.104.9;62.263.6;59.466.6;73340.0;-0.030699999999999998;;;
45475;621033;62.888.3;63.257.0;61.797.6;46520.0;-0.0125;;;
45474;628901;62.768.8;63.842.1;62.558.0;59940.0;0.0022;;;
45473;627543;60.973.1;63.006.6;60.703.7;37210.0;0.0292;;;
45472;609734;60.403.7;61.192.8;60.382.8;26560.0;0.009399999999999999;;;
45471;604033;61.684.6;62.175.4;60.081.9;58950.0;-0.0208;;;
45470;616853;60.848.3;62.351.2;60.629.4;48790.0;0.0137;;;
45469;608494;61.809.9;62.469.4;60.715.1;54950.0;-0.0155;;;
45468;618094;60.292.0;62.266.0;60.262.2;77280.0;0.0252;;;
45467;602927;63.201.6;63.357.1;58.589.9;120600.0;-0.045899999999999996;;;
45466;631962;64.261.0;64.518.9;63.195.3;19940.0;-0.0166;;;
45465;642610;64.131.9;64.523.9;63.944.0;17550.0;0.0021;;;
45464;641285;64.854.3;65.054.9;63.427.9;60860.0;-0.011200000000000002;;;
45463;648543;64.982.1;66.474.2;64.566.7;56240.0;-0.0019;;;
45462;649809;65.159.8;65.706.4;64.705.6;42960.0;-0.0027;;;
45461;651599;66.495.7;66.571.2;64.098.4;93720.0;-0.020099999999999996;;;
45460;664988;66.672.9;67.253.8;65.115.4;66090.0;-0.0026;;;
45459;666747;66.223.0;66.951.4;66.038.1;20740.0;0.0068000000000000005;;;
45458;662230;66.034.1;66.446.4;65.895.1;24050.0;0.0029;;;
45457;660348;66.775.2;67.347.7;65.076.5;6.518.000.000.000.000;-0.0111;;;
45456;667731;68.260.6;68.384.6;66.324.3;66360.0;-0.0218;;;
45455;682601;67.320.9;69.990.8;66.911.5;85550.0;0.013999999999999999;;;
45454;673198;69.537.9;69.573.3;66.197.8;96700.0;-0.0319;;;
45453;695382;69.650.2;70.152.5;69.259.9;39120.0;-0.0016;;;
45452;696506;69.310.5;69.847.8;69.136.7;20990.0;0.0049;;;
45451;693101;69.347.0;69.572.1;69.222.4;23030.0;-0.0005;;;
45450;693479;70.793.4;71.956.5;68.620.7;82620.0;-0.0204;;;
45449;707915;71.083.6;71.616.1;70.178.7;49790.0;-0.0040999999999999995;;;
45448;710837;70.550.9;71.744.4;70.397.1;67060.0;0.0076;;;
45447;705492;68.808.0;71.034.2;68.564.3;75690.0;0.0253;;;
45446;688078;67.763.3;70.131.0;67.616.8;69420.0;0.015300000000000001;;;
45445;677735;67.760.8;68.447.5;67.330.6;30630.0;0.0002;;;
45444;677608;67.533.9;67.861.0;67.449.6;19010.0;0.0034000000000000002;;;
45443;675301;68.352.3;69.018.2;66.676.8;61510.0;-0.0121;;;
45442;683547;67.631.3;69.504.7;67.138.4;66840.0;0.0106;;;
45441;676358;68.366.2;68.897.6;67.143.2;52130.0;-0.010700000000000001;;;
45440;683660;69.428.3;69.560.7;67.299.9;71390.0;-0.015300000000000001;;;
45439;694287;68.514.6;70.638.3;68.275.2;49070.0;0.013300000000000001;;;
45438;685148;69.287.2;69.494.0;68.294.5;24580.0;-0.0111;;;
45437;692844;68.548.2;69.558.8;68.516.1;25170.0;0.010700000000000001;;;
45436;685476;67.971.1;69.212.0;66.685.8;63280.0;0.0084;;;
45435;679757;69.166.3;70.041.0;66.578.1;89450.0;-0.0171;;;
45434;691554;70.141.0;70.593.4;69.024.3;65080.0;-0.013999999999999999;;;
45433;701399;71.430.5;71.872.0;69.181.7;108560.0;-0.018000000000000002;;;
45432;714227;66.278.3;71.482.8;66.076.5;112660.0;0.0776;;;
45431;662791;66.919.0;67.662.5;65.937.3;36190.0;-0.0095;;;
45430;669175;67.036.6;67.361.4;66.636.1;29680.0;-0.0018;;;
45429;670368;65.231.1;67.420.7;65.121.7;63090.0;0.0277;;;
45428;652310;66.219.6;66.643.9;64.623.3;72550.0;-0.015;;;
45427;662251;61.569.4;66.417.1;61.357.5;106050.0;0.0756;;;
45426;615694;62.936.8;63.102.6;61.156.9;68840.0;-0.0217;;;
45425;629372;61.480.5;63.443.2;60.779.0;70550.0;0.023700000000000002;;;
45424;614800;60.826.6;61.847.7;60.647.1;27400.0;0.010700000000000001;;;
45423;608266;60.796.8;61.487.5;60.499.3;27500.0;0.0005;;;
45422;607969;63.074.3;63.454.3;60.251.8;79330.0;-0.0361;;;
45421;630750;61.207.3;63.413.3;60.671.4;64220.0;0.0305;;;
45420;612075;62.304.9;62.997.4;60.894.2;56470.0;-0.0178;;;
45419;623177;63.163.1;64.361.0;62.294.1;59740.0;-0.0134;;;
45418;631631;64.005.8;65.448.8;62.730.7;77680.0;-0.0132;;;
45417;640064;63.897.7;64.587.2;62.923.9;40510.0;0.0018;;;
45416;638883;62.887.1;64.466.0;62.599.1;53030.0;0.0161;;;
45415;628775;59.104.3;63.298.4;58.830.8;100460.0;0.0635;;;
45414;591213;58.334.9;59.548.0;56.989.8;98060.0;0.013500000000000002;;;
45413;583312;60.665.0;60.827.5;56.643.5;171550.0;-0.0385;;;
45412;606666;63.852.4;64.700.2;59.228.7;121040.0;-0.05;;;
